"Strain"	"aspA"	"glnA"	"gltA"	"glyA"	"pgm"	"tkt"	"uncA"
"06_2855"	"06_2855"	2	1	1	3	2	1	3
"06_2866"	"06_2866"	4	7	10	4	1	7	1
"06_3245"	"06_3245"	1	2	3	3	5	9	3
"06_3569"	"06_3569"	1	2	3	3	5	9	3
"06_3783"	"06_3783"	9	2	4	62	4	5	17
"06_3849"	"06_3849"	9	2	4	62	4	5	17
"06_3851"	"06_3851"	9	2	4	62	4	5	17
"06_3852"	"06_3852"	9	2	4	62	4	5	17
"06_4734"	"06_4734"	1	1	2	83	2	3	6
"06_4911"	"06_4911"	4	7	10	4	1	7	1
"06_5176"	"06_5176"	168	17	10	4	1	7	1
"06_5790"	"06_5790"	2	1	1	3	2	1	5
"06_6211"	"06_6211"	7	1	2	83	2	3	6
"06_6212"	"06_6212"	4	7	10	4	1	7	1
"06_6554"	"06_6554"	9	2	4	62	4	5	17
"06_7331"	"06_7331"	2	21	1	3	2	1	5
"06_7332"	"06_7332"	2	1	1	3	2	1	5
"06_7515"	"06_7515"	1	2	3	4	5	9	3
"06_7585"	"06_7585"	4	7	10	4	1	7	1
"06_7656"	"06_7656"	2	21	5	2	59	1	5
"07_0549"	"07_0549"	10	1	59	19	10	5	7
"07_0675"	"07_0675"	10	1	59	19	10	5	7
"07_0971"	"07_0971"	1	2	3	3	5	9	3
"07_1009"	"07_1009"	4	7	10	4	42	7	1
"07_1493"	"07_1493"	1	2	3	3	5	9	3
"07_1875"	"07_1875"	1	2	3	4	5	9	3
"07_2174"	"07_2174"	1	1	2	83	2	3	6
"07_2680"	"07_2680"	2	4	1	4	19	1	5
"07_3238"	"07_3238"	2	1	1	3	2	1	5
"07_3508"	"07_3508"	4	7	10	4	1	7	1
"07_3647"	"07_3647"	4	7	10	4	1	7	1
"07_3853"	"07_3853"	4	7	10	4	1	7	1
"07_4076"	"07_4076"	4	7	10	4	1	7	1
"07_4268"	"07_4268"	1	1	2	2	225	3	17
"07_4269"	"07_4269"	4	7	40	4	42	51	1
"07_4428"	"07_4428"	2	1	1	3	2	1	5
"07_5038"	"07_5038"	2	1	2	3	2	1	5
"07_5039"	"07_5039"	219	2	4	62	4	5	17
"07_5041"	"07_5041"	2	1	1	3	140	3	5
"07_5321"	"07_5321"	1	1	2	2	225	3	17
"07_5425"	"07_5425"	2	1	2	3	2	1	5
"07_5581"	"07_5581"	2	1	1	3	2	1	5
"07_5583"	"07_5583"	2	1	1	3	2	1	5
"07_6017"	"07_6017"	2	1	2	3	2	1	5
"07_6066"	"07_6066"	2	1	2	3	2	1	5
"07_6215"	"07_6215"	2	1	1	3	140	3	5
"07_7314"	"07_7314"	4	7	10	4	42	7	1
"07_7324"	"07_7324"	7	4	5	2	11	1	5
"07_7331"	"07_7331"	2	1	2	3	2	1	5
"08_0094"	"08_0094"	4	7	10	4	1	7	1
"08_0096"	"08_0096"	4	7	10	4	1	7	1
"08_0099"	"08_0099"	4	7	40	4	42	51	1
"08_0100"	"08_0100"	4	7	10	4	1	7	1
"08_1700"	"08_1700"	1	4	2	2	6	3	17
"08_1709"	"08_1709"	9	2	4	62	4	5	17
"08_1711"	"08_1711"	9	2	4	62	4	5	17
"08_1714"	"08_1714"	2	1	2	3	2	1	5
"08_1841"	"08_1841"	33	39	30	79	450	85	17
"08_4456"	"08_4456"	4	7	10	4	1	7	1
"08_4460"	"08_4460"	4	7	10	4	1	7	1
