"isolate"	"country"	"year"	"source"
"CI_5997"	"CI_5997"	"Canada"	2012	"A_MiscWildFaecalA_Raccoon"
"CI_5947"	"CI_5947"	"Canada"	2012	"A_EquineFaecalA_Horse"
"CI_5943"	"CI_5943"	"Canada"	2012	"A_EquineFaecalA_Horse"
"CI_5906"	"CI_5906"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5889"	"CI_5889"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5692"	"CI_5692"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5429"	"CI_5429"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5357"	"CI_5357"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5328"	"CI_5328"	"Canada"	2012	"A_RuminantFaecalA_Cow"
"CI_5300"	"CI_5300"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_5292"	"CI_5292"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_5265"	"CI_5265"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_5254"	"CI_5254"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_5245"	"CI_5245"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_5198"	"CI_5198"	"Canada"	2011	"E_WaterWaterE_Water"
"CI_5034"	"CI_5034"	"Canada"	2011	"E_WaterWaterE_Water"
"CI_4990"	"CI_4990"	"Canada"	2011	"A_MiscWildFaecalA_Raccoon"
"CI_4909"	"CI_4909"	"Canada"	2011	"A_MiscWildFaecalA_Raccoon"
"CI_4864"	"CI_4864"	"Canada"	2011	"A_MiscWildFaecalA_Raccoon"
"CI_4835"	"CI_4835"	"Canada"	2011	"A_MiscWildFaecalA_Raccoon"
"CI_4806"	"CI_4806"	"Canada"	2011	"E_WaterWaterE_Water"
"CI_4458"	"CI_4458"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4447"	"CI_4447"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4428"	"CI_4428"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4424"	"CI_4424"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4411"	"CI_4411"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4395"	"CI_4395"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4383"	"CI_4383"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4378"	"CI_4378"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4360"	"CI_4360"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4356"	"CI_4356"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4353"	"CI_4353"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4108"	"CI_4108"	"Canada"	2011	"A_RuminantFaecalA_Cow"
"CI_4102"	"CI_4102"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_4079"	"CI_4079"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_4071"	"CI_4071"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3986"	"CI_3986"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3943"	"CI_3943"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3889"	"CI_3889"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3879"	"CI_3879"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3856"	"CI_3856"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3812"	"CI_3812"	"Canada"	2010	"E_WaterWaterE_Water"
"CI_3643"	"CI_3643"	"Canada"	2009	"E_WaterWaterE_Water"
"CI_3609"	"CI_3609"	"Canada"	2009	"E_WaterWaterE_Water"
"CI_3421"	"CI_3421"	"Canada"	2009	"E_WaterWaterE_Water"
"CI_3299"	"CI_3299"	"Canada"	2009	"A_RuminantFaecalA_Cow"
"CI_3290"	"CI_3290"	"Canada"	2009	"A_RuminantFaecalA_Cow"
"CI_3252"	"CI_3252"	"Canada"	2008	"E_WaterWaterE_Water"
"CI_3074"	"CI_3074"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_3043"	"CI_3043"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_3036"	"CI_3036"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2991"	"CI_2991"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2989"	"CI_2989"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2950"	"CI_2950"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2864"	"CI_2864"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2840"	"CI_2840"	"Canada"	2007	"E_WaterWaterE_Water"
"CI_2705"	"CI_2705"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2695"	"CI_2695"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2651"	"CI_2651"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2605"	"CI_2605"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2548"	"CI_2548"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2536"	"CI_2536"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2533"	"CI_2533"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2510"	"CI_2510"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2499"	"CI_2499"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2439"	"CI_2439"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2423"	"CI_2423"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2328"	"CI_2328"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2230"	"CI_2230"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_2061"	"CI_2061"	"Canada"	2006	"A_AvianFaecalA_Chicken"
"CI_2055"	"CI_2055"	"Canada"	2006	"A_AvianFaecalA_Duck"
"CI_2009"	"CI_2009"	"Canada"	2006	"A_AvianFaecalA_Duck"
"CI_2004"	"CI_2004"	"Canada"	2006	"A_AvianFaecalA_Goose"
"CI_1969"	"CI_1969"	"Canada"	2006	"A_AvianFaecalA_Chicken"
"CI_1964"	"CI_1964"	"Canada"	2006	"A_AvianFaecalA_Chicken"
"CI_1943"	"CI_1943"	"Canada"	2006	"A_CompanionFaecalA_Dog"
"CI_1920"	"CI_1920"	"Canada"	2006	"A_AvianFaecalA_Goose"
"CI_1915"	"CI_1915"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1884"	"CI_1884"	"Canada"	2006	"A_RuminantFaecalA_Cow"
"CI_1875"	"CI_1875"	"Canada"	2006	"A_RuminantFaecalA_Cow"
"CI_1874"	"CI_1874"	"Canada"	2006	"A_RuminantFaecalA_Cow"
"CI_1845"	"CI_1845"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1799"	"CI_1799"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1660"	"CI_1660"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1653"	"CI_1653"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1636"	"CI_1636"	"Canada"	2006	"E_WaterWaterE_Water"
"CI_1415"	"CI_1415"	"Canada"	2005	"E_WaterWaterE_Water"
"CI_1117"	"CI_1117"	"Canada"	2005	"A_RuminantFaecalA_Sheep"
"CI_1109"	"CI_1109"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_1096"	"CI_1096"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_1092"	"CI_1092"	"Canada"	2005	"A_RuminantFaecalA_Sheep"
"CI_0987"	"CI_0987"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0973"	"CI_0973"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0955"	"CI_0955"	"Canada"	2005	"A_PorcineFaecalA_Pig"
"CI_0927"	"CI_0927"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0918"	"CI_0918"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0898"	"CI_0898"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0893"	"CI_0893"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0884"	"CI_0884"	"Canada"	2005	"A_RuminantFaecalA_Cow"
"CI_0783"	"CI_0783"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0765"	"CI_0765"	"Canada"	2004	"A_AvianFaecalA_Goose"
"CI_0699"	"CI_0699"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0697"	"CI_0697"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0685"	"CI_0685"	"Canada"	2004	"A_AvianFaecalA_Chicken"
"CI_0677"	"CI_0677"	"Canada"	2004	"A_AvianFaecalA_Chicken"
"CI_0662"	"CI_0662"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0637"	"CI_0637"	"Canada"	2004	"E_SewageSewageE_Sewage"
"CI_0609"	"CI_0609"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0532"	"CI_0532"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0458"	"CI_0458"	"Canada"	2004	"A_AvianFaecalA_Goose"
"CI_0453"	"CI_0453"	"Canada"	2004	"A_AvianFaecalA_Goose"
"CI_0450"	"CI_0450"	"Canada"	2004	"A_AvianFaecalA_Goose"
"CI_0405"	"CI_0405"	"Canada"	2004	"A_CompanionFaecalA_Cat"
"CI_0392"	"CI_0392"	"Canada"	2004	"E_SewageSewageE_Sewage"
"CI_0346"	"CI_0346"	"Canada"	2004	"A_RuminantFaecalA_Sheep"
"CI_0334"	"CI_0334"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0325"	"CI_0325"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0322"	"CI_0322"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0292"	"CI_0292"	"Canada"	2004	"E_WaterWaterE_Water"
"CI_0182"	"CI_0182"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0168"	"CI_0168"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0165"	"CI_0165"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0136"	"CI_0136"	"Canada"	2004	"A_RuminantFaecalA_Cow"
"CI_0094"	"CI_0094"	"Canada"	2004	"E_WaterWaterE_Water"
"CHR_159"	"CHR_159"	"Canada"	2005	"HumanClinicalHuman"
"CHR_151"	"CHR_151"	"Canada"	2005	"HumanClinicalHuman"
"CHR_130"	"CHR_130"	"Canada"	2005	"HumanClinicalHuman"
"CHR_127"	"CHR_127"	"Canada"	2005	"HumanClinicalHuman"
"CHR_119"	"CHR_119"	"Canada"	2005	"HumanClinicalHuman"
"CHR_090"	"CHR_090"	"Canada"	2005	"HumanClinicalHuman"
"CHR_053"	"CHR_053"	"Canada"	2004	"HumanClinicalHuman"
"CHR_028"	"CHR_028"	"Canada"	2004	"HumanClinicalHuman"
"CHR_026"	"CHR_026"	"Canada"	2004	"HumanClinicalHuman"
"CHR_023"	"CHR_023"	"Canada"	2004	"HumanClinicalHuman"
"CHR_022"	"CHR_022"	"Canada"	2004	"HumanClinicalHuman"
"CGY_HR_174"	"CGY_HR_174"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_170"	"CGY_HR_170"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_140"	"CGY_HR_140"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_139"	"CGY_HR_139"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_121"	"CGY_HR_121"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_118"	"CGY_HR_118"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_109"	"CGY_HR_109"	"Canada"	2005	"HumanClinicalHuman"
"CGY_HR_108"	"CGY_HR_108"	"Canada"	2005	"HumanClinicalHuman"
