id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
1	P09		Unknown			carrier	goat	carrier	9	4	7	10	1	1	7	1	25	ST-45 complex
2	P12		Unknown			gastroenteritis	human stool	sporadic case	12	4	7	51	4	1	7	1	2	ST-45 complex
3	P18	ATCC43439	Canada			gastroenteritis	human stool	sporadic case	18	3	2	5	10	11	11	6	3	ST-49 complex
4	P22	ATCC43448	Canada			gastroenteritis	human stool	sporadic case	22	10	11	16	7	10	5	7	4	ST-403 complex
5	P26	ATCC43477	Unknown			carrier	pig	carrier	26	7	2	5	2	10	3	6	5	ST-353 complex
6	P27		Unknown			gastroenteritis	human stool	sporadic case	27	4	7	10	4	1	7	1	45	ST-45 complex
7	P31		Unknown			gastroenteritis	human stool	sporadic case	31	8	10	2	2	14	12	6	7	ST-354 complex
8	P33		Unknown			gastroenteritis	human stool	sporadic case	33	4	7	2	4	1	7	1	418	ST-45 complex
9	P43		Canada			gastroenteritis	human stool	sporadic case	43	1	6	22	24	12	7	1	9	ST-508 complex
10	P55		Unknown			gastroenteritis	human stool	sporadic case	55	4	7	10	4	1	7	1	45	ST-45 complex
11	P57		Unknown			gastroenteritis	human stool	sporadic case	57	48	7	10	4	1	7	1	11	ST-45 complex
12	P58		USA			gastroenteritis	human stool	sporadic case	58	2	59	4	38	17	12	35	433	ST-433 complex
13	PS02		Unknown			carrier	calf	carrier	2	2	1	1	3	2	1	5	21	ST-21 complex
14	PS11		Canada			gastroenteritis	human stool	sporadic case	11	9	2	55	62	4	5	6	14	ST-257 complex
15	PS16		Unknown						16	6	4	13	2	2	1	5	15	ST-48 complex
16	PS19		Unknown			gastroenteritis	human stool	sporadic case	19	1	3	6	4	3	3	6	16	ST-22 complex
17	3157		UK	1991		gastroenteritis	human stool	sporadic case	11	9	2	4	6	4	5	6	17	ST-257 complex
18	2475		UK	1991		gastroenteritis	human stool	sporadic case	11	9	2	4	6	4	5	6	17	ST-257 complex
19	313		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	13	3	2	1	5	18	ST-21 complex
20	309		UK	1990			chicken offal or meat		1	2	1	12	3	2	1	5	50	ST-21 complex
21	3618		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	5	3	2	4	5	20	ST-21 complex
22	2167		UK	1991		gastroenteritis	human stool	sporadic case	1	2	1	5	3	2	1	5	19	ST-21 complex
23	2248		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
24	3201		UK	1991		gastroenteritis	human stool	sporadic case	19	1	3	6	4	3	3	3	22	ST-22 complex
25	78969		UK	1994			sand (bathing beach)	environmental isolate	23	1	5	9	5	8	8	2	23	
26	GB2		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	UT	1	3	6	4	3	3	3	22	ST-22 complex
