Strain	Test	Marker	Call
OXC6575_V2	MLST	aspA	7
OXC6575_V2	MLST	glnA	2
OXC6575_V2	MLST	pgm	10
OXC6575_V2	MLST	tkt	3
OXC6575_V2	MLST	glyA	2
OXC6575_V2	MLST	uncA	6
OXC6575_V2	MLST	gltA	5
07_3238	MLST	aspA	2
07_3238	MLST	glnA	1
07_3238	MLST	pgm	2
07_3238	MLST	tkt	1
07_3238	MLST	glyA	3
07_3238	MLST	uncA	5
07_3238	MLST	gltA	1
CHR_130	MLST	aspA	1
CHR_130	MLST	glnA	1
CHR_130	MLST	pgm	2
CHR_130	MLST	tkt	3
CHR_130	MLST	glyA	83
CHR_130	MLST	uncA	6
CHR_130	MLST	gltA	2
OXC7100	MLST	aspA	2
OXC7100	MLST	glnA	21
OXC7100	MLST	pgm	60
OXC7100	MLST	tkt	1
OXC7100	MLST	glyA	37
OXC7100	MLST	uncA	5
OXC7100	MLST	gltA	5
OXC7451	MLST	aspA	9
OXC7451	MLST	glnA	2
OXC7451	MLST	pgm	4
OXC7451	MLST	tkt	133
OXC7451	MLST	glyA	62
OXC7451	MLST	uncA	6
OXC7451	MLST	gltA	4
CE_M_10_2113	MLST	aspA	1
CE_M_10_2113	MLST	glnA	1
CE_M_10_2113	MLST	pgm	2
CE_M_10_2113	MLST	tkt	3
CE_M_10_2113	MLST	glyA	83
CE_M_10_2113	MLST	uncA	6
CE_M_10_2113	MLST	gltA	2
OXC5816	MLST	aspA	4
OXC5816	MLST	glnA	7
OXC5816	MLST	pgm	1
OXC5816	MLST	tkt	7
OXC5816	MLST	glyA	4
OXC5816	MLST	uncA	1
OXC5816	MLST	gltA	10
OXC5815	MLST	aspA	7
OXC5815	MLST	glnA	53
OXC5815	MLST	pgm	11
OXC5815	MLST	tkt	3
OXC5815	MLST	glyA	10
OXC5815	MLST	uncA	3
OXC5815	MLST	gltA	2
OXC5814	MLST	aspA	2
OXC5814	MLST	glnA	4
OXC5814	MLST	pgm	7
OXC5814	MLST	tkt	1
OXC5814	MLST	glyA	2
OXC5814	MLST	uncA	5
OXC5814	MLST	gltA	1
OXC5813	MLST	aspA	7
OXC5813	MLST	glnA	2
OXC5813	MLST	pgm	10
OXC5813	MLST	tkt	3
OXC5813	MLST	glyA	2
OXC5813	MLST	uncA	6
OXC5813	MLST	gltA	5
OXC5812	MLST	aspA	7
OXC5812	MLST	glnA	53
OXC5812	MLST	pgm	11
OXC5812	MLST	tkt	3
OXC5812	MLST	glyA	10
OXC5812	MLST	uncA	3
OXC5812	MLST	gltA	2
OXC5811	MLST	aspA	8
OXC5811	MLST	glnA	1
OXC5811	MLST	pgm	2
OXC5811	MLST	tkt	1
OXC5811	MLST	glyA	3
OXC5811	MLST	uncA	12
OXC5811	MLST	gltA	6
OXC5810	MLST	aspA	33
OXC5810	MLST	glnA	39
OXC5810	MLST	pgm	189
OXC5810	MLST	tkt	44
OXC5810	MLST	glyA	82
OXC5810	MLST	uncA	17
OXC5810	MLST	gltA	30
OXC4814	MLST	aspA	33
OXC4814	MLST	glnA	39
OXC4814	MLST	pgm	104
OXC4814	MLST	tkt	56
OXC4814	MLST	glyA	82
OXC4814	MLST	uncA	17
OXC4814	MLST	gltA	30
OXC4816	MLST	aspA	2
OXC4816	MLST	glnA	10
OXC4816	MLST	pgm	19
OXC4816	MLST	tkt	3
OXC4816	MLST	glyA	4
OXC4816	MLST	uncA	6
OXC4816	MLST	gltA	2
07_6066	MLST	aspA	2
07_6066	MLST	glnA	1
07_6066	MLST	pgm	2
07_6066	MLST	tkt	1
07_6066	MLST	glyA	3
07_6066	MLST	uncA	5
07_6066	MLST	gltA	2
OXC4811	MLST	aspA	2
OXC4811	MLST	glnA	1
OXC4811	MLST	pgm	2
OXC4811	MLST	tkt	1
OXC4811	MLST	glyA	3
OXC4811	MLST	uncA	5
OXC4811	MLST	gltA	1
OXC5819	MLST	aspA	2
OXC5819	MLST	glnA	1
OXC5819	MLST	pgm	2
OXC5819	MLST	tkt	1
OXC5819	MLST	glyA	3
OXC5819	MLST	uncA	5
OXC5819	MLST	gltA	1
OXC4813	MLST	aspA	2
OXC4813	MLST	glnA	4
OXC4813	MLST	pgm	7
OXC4813	MLST	tkt	1
OXC4813	MLST	glyA	2
OXC4813	MLST	uncA	5
OXC4813	MLST	gltA	1
CI_0458	MLST	aspA	2
CI_0458	MLST	glnA	59
CI_0458	MLST	pgm	126
CI_0458	MLST	tkt	25
CI_0458	MLST	glyA	105
CI_0458	MLST	uncA	23
CI_0458	MLST	gltA	136
OXC6472_V2	MLST	aspA	33
OXC6472_V2	MLST	glnA	39
OXC6472_V2	MLST	pgm	104
OXC6472_V2	MLST	tkt	56
OXC6472_V2	MLST	glyA	82
OXC6472_V2	MLST	uncA	17
OXC6472_V2	MLST	gltA	30
S3	MLST	aspA	8
S3	MLST	glnA	10
S3	MLST	pgm	11
S3	MLST	tkt	12
S3	MLST	glyA	2
S3	MLST	uncA	6
S3	MLST	gltA	2
OXC6578_V2	MLST	aspA	14
OXC6578_V2	MLST	glnA	45
OXC6578_V2	MLST	pgm	19
OXC6578_V2	MLST	tkt	3
