genome,hexMLST
OXC6575_V2,783
07_3238,26
CHR_130,241
OXC7100,746
OXC7451,391
CE_M_10_2113,198
OXC5816,699
OXC5815,698
OXC5814,697
OXC5813,607
OXC5812,696
OXC5811,460
OXC5810,695
OXC4814,487
OXC4816,488
07_6066,41
OXC4811,485
OXC5819,701
OXC4813,486
CI_0458,256
OXC6472_V2,497
S3,1508
OXC6578_V2,990
OXC6485R,930
OXC6553,975
OXC6552,974
OXC5608,594
OXC6550,972
OXC6557,977
OXC6556,976
OXC6555,972
OXC6554,972
OXC6559,978
CGY_HR_170,225
OXC5604,592
OXC5605,593
OXC6395,870
OXC6394,499
OXC6397,872
OXC6396,871
OXC6391,867
OXC6390,411
OXC6393,869
OXC6392,868
OXC7296,347
CI_2423,288
OXC7294,1366
C28B51,93
OXC5776,677
OXC5777,414
OXC5774,675
OXC5775,676
OXC5772,460
OXC5773,674
OXC5771,673
CI_3043,303
OXC5778,678
OXC5779,613
OXC4634,422
OXC4635,423
OXC4636,424
OXC4630,418
OXC4631,419
OXC4632,420
OXC4633,421
OXC4638,425
OXC4639,425
OXC7202,574
OXC7457,1462
OXC7456,1461
BID1AV,89
OXC7107,1265
OXC6981,578
OXC7147,133
OXC7105,1263
OXC6471_V2,497
OXC4559,381
OXC7104,1263
OXC6984,1204
OXC7459,942
OXC7102,1261
CI_3609,309
OXC6778,414
OXC7101,1120
OXC6773,1098
OXC6772,387
OXC6771,1097
OXC6770,1096
OXC6777,1101
OXC6776,1100
OXC6775,933
OXC6774,1099
CI_5292,330
OXC7048,1233
OXC7049,656
CAMSA3690,149
OXC7042,1134
OXC7043,1229
OXC7458,1463
OXC7041,543
OXC7046,339
OXC7047,1232
OXC7044,1230
OXC7045,1231
CI_0392,254
CI_4835,327
CAMSA2057,121
CAMSA2056,120
OXC5398,548
OXC5394,544
OXC5395,545
OXC5396,546
OXC5397,547
OXC5390,540
OXC5391,541
OXC5392,542
OXC5393,543
OXC6605,1006
OXC6604,982
OXC6603,1005
OXC6602,1004
OXC6601,1003
OXC6600,983
07_5321,36
OXC6609,1008
OXC6608,1007
OXC7136,1277
OXC7137,1278
CI_0136,245
OXC7135,1099
Dg189,352
OXC7133,1275
OXC6959,869
OXC6958,1099
OXC6957,1192
OXC6472R,497
OXC6955,1099
OXC6954,1190
OXC6953,1189
OXC6952,836
OXC6951,1188
OXC6950,956
OXC7428,1445
OXC7429,1446
OXC7420,1441
OXC7421,1099
OXC7422,1442
OXC7423,1443
CI_4909,327
OXC7425,1444
OXC7427,1391
OXC6910,1171
07_5039,34
07_5038,33
OXC6852,1141
OXC6853,1099
OXC5817,613
CE_M_09_3107,192
CE2_R2_11_3023,179
CAMSA3674,102
OXC6857,1142
OXC6855,591
06_6211,12
OXC6706,616
OXC6758,414
