Strain,Test,Marker,Call
CE2_R_11_3113,hexMLST,CAMP1074,2
CE2_R_11_3113,hexMLST,CAMP0367,20
CE2_R_11_3113,hexMLST,CAMP0768,5
CE2_R_11_3113,hexMLST,CAMP1364,112
CE2_R_11_3113,hexMLST,CAMP1571,5
CE2_R_11_3113,hexMLST,CAMP1578,5
CE2_R_11_3113,hexMLST,CAMP0972,4
CE2_R_11_3113,hexMLST,CAMP0471,5
CE2_R_11_3113,hexMLST,CAMP0374,48
CE2_R_11_3113,hexMLST,CAMP0273,49
CE2_R_11_3113,hexMLST,CAMP1311,4
CE2_R_11_3113,hexMLST,CAMP1313,3
CE2_R_11_3113,hexMLST,CAMP0775,5
CE2_R_11_3113,hexMLST,CAMP1322,124
CE2_R_11_3113,hexMLST,CAMP1319,47
CE2_R_11_3113,hexMLST,CAMP1567,5
CE2_R_11_3113,hexMLST,CAMP1085,22
CE2_R_11_3113,hexMLST,CAMP0572,20
CE2_R_11_3113,hexMLST,CAMP0867,5
CE2_R_11_3113,hexMLST,CAMP1568,5
CE2_R_11_3113,hexMLST,CAMP0881,4
CE2_R_11_3113,hexMLST,CAMP0015,20
CE2_R_11_3113,hexMLST,CAMP1301,97
CE2_R_11_3113,hexMLST,CAMP1158,25
CE2_R_11_3113,hexMLST,CAMP0950,2
CE2_R_11_3113,hexMLST,CAMP1411,5
CE2_R_11_3113,hexMLST,CAMP1416,20
CE2_R_11_3113,hexMLST,CAMP0540,21
CE2_R_11_3113,hexMLST,CAMP1022,2
CE2_R_11_3113,hexMLST,CAMP0319,5
CE2_R_11_3113,hexMLST,CAMP0792,19
CE2_R_11_3113,hexMLST,CAMP0791,45
CE2_R_11_3113,hexMLST,CAMP1541,53
CE2_R_11_3113,hexMLST,CAMP0556,41
CE2_R_11_3113,hexMLST,CAMP0351,5
CE2_R_11_3113,hexMLST,CAMP0496,23
CE2_R_11_3113,hexMLST,CAMP1384,
CE2_R_11_3113,hexMLST,CAMP1280,5
CE2_R_11_3113,hexMLST,CAMP0565,22
CE2_R_11_3113,hexMLST,CAMP0138,30
CE2_R_11_3113,hexMLST,CAMP1208,4
CE2_R_11_3113,hexMLST,CAMP1430,22
CE2_R_11_3113,hexMLST,CAMP1432,22
CE2_R_11_3113,hexMLST,CAMP1019,21
CE2_R_11_3113,hexMLST,CAMP1537,5
CE2_R_11_3113,hexMLST,CAMP0182,2
CE2_R_11_3113,hexMLST,CAMP0028,15
CE2_R_11_3113,hexMLST,CAMP0024,23
